                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4615,                   1.52,                 2.3828,                0.97002,                0.98182,                0.99426,                0.70828,                 1.1403,                 1.5735,                  2.074,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                 1.5338,                 1.5231,                 2.4255,                0.98241,                0.99587,                  0.995,                0.71811,                 1.1121,                 1.6127,                 2.0671,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                 1.4799,                 1.5245,                 2.3831,                0.99174,                0.98584,                  0.995,                0.71045,                  1.173,                 1.6235,                   2.02,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                 1.4521,                 1.4907,                 2.3576,                0.98038,                      1,                  0.995,                0.68994,                  1.134,                 1.5194,                 2.0065,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                 1.4157,                 1.5294,                 2.3055,                 0.9727,                0.99091,                0.99153,                0.70733,                 1.0838,                 1.5677,                   1.98,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                  1.359,                  1.416,                 2.2845,                0.96546,                      1,                0.99355,                 0.7388,                 1.0525,                 1.5038,                 1.9274,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                 1.3557,                  1.452,                 2.2729,                0.98617,                0.99397,                  0.995,                0.69894,                 1.0821,                 1.4698,                 1.9279,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                 1.4423,                 1.4949,                 2.3382,                0.97649,                      1,                  0.995,                0.71429,                 1.0625,                 1.4527,                 1.9102,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                 1.3793,                  1.446,                 2.2738,                0.99168,                0.99881,                  0.995,                0.71893,                 1.0859,                 1.4712,                 1.9332,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                 1.4052,                 1.4685,                 2.2729,                0.98333,                      1,                  0.995,                  0.698,                  1.129,                 1.4339,                 1.9325,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                 1.3548,                 1.4387,                 2.2514,                0.98477,                0.99802,                  0.995,                0.71525,                 1.0986,                 1.4575,                 1.8866,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                 1.3468,                 1.4209,                  2.236,                0.98456,                0.99729,                0.99476,                0.70124,                 1.0721,                 1.4003,                  1.848,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                 1.3782,                 1.4113,                 2.1844,                0.98174,                0.99762,                  0.995,                0.73278,                 1.0471,                 1.3534,                 1.8231,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                 1.2956,                 1.3441,                  2.166,                0.99329,                      1,                  0.995,                0.71115,                 1.0673,                 1.3498,                 1.8895,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                 1.3046,                 1.3514,                 2.1855,                0.98935,                      1,                  0.995,                0.74157,                 1.0254,                  1.318,                 1.7907,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                 1.2734,                 1.3428,                 2.1521,                0.98853,                      1,                  0.995,                0.74339,                 1.0107,                 1.3365,                 1.7968,             6.2451e-05,             6.2451e-05,             6.2451e-05
